price,address,date_sold,bedroom,bathroom,carport,dwelling
370000,2/69 Murray Street,2019-05-14,1,1,1,Apartment
435000,301/105 Stirling Street,2019-05-14,2,2,1,Apartment
400000,302/2 St Georges Terrace,2019-05-13,2,2,1,Apartment
379000,101/996 Hay Street,2019-05-10,2,1,1,Apartment
380000,110/996 Hay Street,2019-05-09,2,1,1,Apartment
502000,55/369 Hay Street,2019-05-03,3,2,2,Apartment
270000,23/76 Newcastle Street,2019-05-02,1,1,1,House
220100,4/120 Terrace Road,2019-04-30,1,1,1,Unit
295000,16/29 Hill Street,2019-04-30,1,1,1,Apartment
415000,16/177 Stirling Street,2019-04-30,2,2,1,Apartment
220000,114/305 MURRAY STREET,2019-04-29,1,1,0,Apartment
350000,66/418-428 Murray Street,2019-04-28,2,1,1,Unit
771000,28A Windsor Street,2019-04-26,2,2,2,Townhouse
1088000,232 Lake Street,2019-04-25,3,2,2,House
350000,2/154 Newcastle Street,2019-04-16,2,2,1,Apartment
515000,44/280 Lord Street,2019-04-08,3,2,2,Apartment
650000,"Lot 32, 32/138 Mounts Bay Road",2019-04-04,2,2,2,House
380000,30/28 Robinson Avenue,2019-04-03,3,1,2,Apartment
252500,722/305 Murray Street,2019-04-02,1,1,0,Apartment
520000,121/369 Hay Street,2019-03-29,3,2,2,Apartment
530000,94/580 Hay Street,2019-03-29,3,2,1,Apartment
368000,6/134 Mounts Bay Road,2019-03-26,2,1,1,Apartment
385000,7/54 Cheriton Street,2019-03-24,1,1,1,Unit
593000,61/580 Hay Street,2019-03-20,2,2,3,Apartment
362500,13A/28 Robinson Avenue,2019-03-20,2,1,1,Apartment
398000,16/10 Pendal Lane,2019-03-18,2,2,1,Apartment
534000,34/580 Hay Street,2019-03-18,2,2,0,Apartment
360000,15/474 Murray Street,2019-03-16,1,1,1,Apartment
217500,34/126 Mounts Bay Road,2019-03-14,1,1,0,Apartment
460000,104/2 Sherwood Court,2019-03-14,2,1,0,Apartment
290000,22/255 Adelaide Terrace,2019-03-05,1,1,0,Apartment
820000,6/147 Palmerston Street,2019-02-28,3,3,2,House
300000,Unit 88/418-428 Murray St,2019-02-26,2,1,0,Apartment
472500,24/122 Mounts Bay Road,2019-02-25,2,2,1,Apartment
620000,2/127 Lake Street,2019-02-22,2,2,1,Townhouse
410000,27/180 Stirling Street,2019-02-19,2,2,1,Apartment
425000,105/580 Hay Street,2019-02-18,1,1,1,Apartment
399999,2/315 Bulwer St,2019-02-18,2,1,2,Apartment
175000,201/130A Mounts Bay Road,2019-02-15,1,1,0,Apartment
185000,12/290-292 Stirling Street,2019-02-14,1,1,0,Unit
167500,27/290 Stirling Street,2019-02-13,1,1,1,Apartment
1230000,10 Cantle Street,2019-02-08,4,3,4,House
295000,89/101 Murray Street,2019-02-07,1,1,1,Apartment
402000,25/150 Stirling Street,2019-02-04,2,2,1,Apartment
675000,18/132 Terrace Road,2019-02-04,2,2,2,Apartment
510000,13/117 Lake Street,2019-02-02,2,2,1,Townhouse
1770000,109/173 Mounts Bay Road,2019-02-02,4,3,0,Apartment
382500,76/996 Hay Street,2019-01-30,2,1,1,Apartment
265000,7C/811 Hay Street,2019-01-29,1,1,0,Apartment
690000,224 Bulwer Street,2019-01-24,2,1,0,House
232000,504/305 Murray Street,2019-01-23,1,1,0,Apartment
